title,company,salary,work,place,skills,decriptions
IT Business Analyst (E-Commerce/Retail),CÔNG TY TNHH LOTTE INNOVATE VIỆT NAM,"1,500 - 2,200 USD",At office,Ho Chi Minh - Ha Noi,"Business Analyst, Project Manager, ",
"DevOps Engineer (Docker,Kubernetes)",Alpaca Vietnam,You'll love it,Hybrid,Ho Chi Minh,"DevOps, Cloud, Linux, ",
"Mobile Developer (Flutter, IOS, Dart)",Med-Aid,You'll love it,At office,Ha Noi,"Flutter, Dart, iOS, ","Thưởng Tết+các dịp Lễ: 30/4&1/5, 2/9, Tết dương, Bảo hiểm sức khỏe Bảo Việt, Tham gia khóa đào tạo nâng cao trong & ngoài nước, "
"Development Front End Executive (Javascript, HTML, CSS)",GS25 Việt Nam,You'll love it,At office,Ho Chi Minh,"JavaScript, CSS, HTML5, ",
"Development Back End Executive (.NET, C#, ReactJS)",GS25 Việt Nam,You'll love it,At office,Ho Chi Minh,".NET, ReactJS, C#, ",
".NET Developer (C#, ASP .NET) ~ 2-4 yrs",Pacific Technology,You'll love it,At office,Ho Chi Minh,".NET, C#, ASP.NET, ",
AI Engineer (Python/R),Trung tâm công nghệ thông tin MobiFone,"1,000 - 1,500 USD",At office,Ha Noi - Da Nang,"Python, Data Analyst, AI, ","Môi trường làm việc năng động, chuyên nghiệp, Cơ hội thăng tiến cao trong công việc, Chế độ đãi ngộ và phúc lợi tốt, "
"Backend Developer (Java, Spring, NodeJS, .NET)",Trung tâm công nghệ thông tin MobiFone,"1,000 - 1,500 USD",At office,Ha Noi - Da Nang,"Java, Spring, NodeJS, ","Môi trường làm việc năng động, chuyên nghiệp, Cơ hội thăng tiến cao trong công việc, Chế độ đãi ngộ và phúc lợi tốt, "
"Mid VB Script Developer (HTML, Javascript, CSS)",Oolio Vietnam,You'll love it,At office,Ho Chi Minh,"JavaScript, CSS, HTML5, ","Competitive Salary & Bonus package, Flat Structure & Feedback driven Culture, Work for a Global Product Company into POS domain, "
Frontend Leader,DatVietVAC,You'll love it,At office,Ho Chi Minh,"ReactJS, TypeScript, ",
Backend Developer (NodeJS),MetaCrew,You'll love it,At office,Ho Chi Minh,"NodeJS, NoSQL, SQL, ",
QA QC Engineer (Tester),CUBICSTACK SOLUTIONS,You'll love it,At office,Ho Chi Minh,"QA QC, Tester, English, ",
