web-scraper-order,web-scraper-start-url,links-href,Name,Brand,Prices,CPU,GPU,RAM,ROM,Screen,Weight,Os_sys
330,https://laptopaz.vn/laptop-like-new.html,https://laptopaz.vn/laptop-hp-14s-cr2005tu-core-i5-10210u-8gb-256gb-intel-uhd-graphics-14quot-fhd.html,"[M?i 99%] Laptop HP 14s - cr2005TU (Core i5-10210U, 8GB, 256GB, Intel UHD Graphics, 14"" FHD IPS)",HP,13.490.000,Intel® Core™ i5-10210U,Intel UHD Graphics,8GB DDR4,256GB PCIe NVMe M.2 SSD,14 Inch FHD (1920 x 1080) IPS,1.46 kg,Windows 10 b?n quy?n
331,https://laptopaz.vn/laptop-like-new.html,https://laptopaz.vn/laptop-dell-precision-7510-xeon-e3-1505-16gb-512gb-nvidia-quadro-m2000m-15.6-inch-fhd.html,"[Like New] Dell Precision 7510 Xeon E3 1505, 16GB, 512GB,  NVIDIA M2000M, 15.6 FHD",Dell,12.990.000,Xeon E3 1505,Intel HD Quadro M2000M,16GB DDR4 Bus 2133MHz,SSD 512GB,15.6 Inch Full HD,2.79 kg,Windows 10 b?n quy?n
332,https://laptopaz.vn/laptop-like-new.html,https://laptopaz.vn/moi-99-laptop-dell-precision-7540-core-i7-9850h-16gb-512gb-vga-nvidia-quadro-t1000-15.6-inch-fhd-ips.html,"[Like New] Laptop Dell Precision 7540 (Core i7-9850H, 16GB, 512GB, NVIDIA Quadro T1000, 15.6 inch FHD IPS)",Dell,13.490.000,Intel® Core™ i7-9850H,Intel HD Quadro T1000,16GB DDR4 Bus 2666MHz,SSD 512GB,15.6 Inch FHD IPS,2.79 kg,Windows 10 b?n quy?n
333,https://laptopaz.vn/laptop-like-new.html,https://laptopaz.vn/moi-99-laptop-dell-precision-7550-core-i7-10750h-16gb-512gb-vga-nvidia-quadro-t1000-15.6-inch-fhd-ips.html,"[Like New] Laptop Dell Precision 7550 (Core i7-10750H, 16GB, 512GB, VGA NVIDIA Quadro T1000, 15.6 inch FHD IPS)",Dell,15.590.000,Intel® Core™ i7-10750H,Intel HD Quadro T1000,16GB DDR4 Bus 2666MHz,SSD 512GB,15.6 Inch FHD IPS,2.45 kg,Windows 10 b?n quy?n
334,https://laptopaz.vn/laptop-like-new.html,https://laptopaz.vn/laptop-cu-dell-precision-5530-core-i7-8850hq-ram-16gb-ssd-512gb-vga-quadro-p1000-15.6-inch-fhd-ips.html,"[Like New] Dell Precision 5530 (Core i7-8850H, 16GB, 512GB, Quadro P1000 4GB, 15.6'' FHD IPS)",Dell,14.890.000,"Intel® Core™ i7-8850H (2.6GHz, Turbo up to 4.3GHz, Cache 9 MB, 6 core 12 lu?ng)",NVIDIA Quadro P1000 4GB,16GB DDR4,SSD 512GB,15.6 inch FHD (1920 x 1080) IPS,1.8 Kg,Windows 10
335,https://laptopaz.vn/laptop-like-new.html,https://laptopaz.vn/like-new-laptop-dell-precision-7540-core-i7-9850h-16gb-512gb-nvidia-quadro-t2000-15.6-inch-fhd-ips.html,"[Like New] Laptop Dell Precision 7540 (Core i7-9850H, 16GB, 512GB, NVIDIA Quadro T2000, 15.6 inch FHD IPS)",Dell,14.590.000,Intel® Core™ i7-9850H,Intel HD Quadro T2000,16GB DDR4 Bus 2666MHz,SSD 512GB,15.6 Inch FHD IPS,2.79 kg,Windows 10 b?n quy?n
336,https://laptopaz.vn/laptop-like-new.html,https://laptopaz.vn/laptop-dell-latitude-e7480-core-i5-6300u-ram-8gb-ssd-256gb-vga-intel-hd-graphics-620-14.0-inch-fhd-ips-.html,"[Like New] Dell Latitude E7480 Core i5-6300U, 8GB, 256GB, UHD 520, 14.0 inch FHD",Dell,5.490.000,Intel® Core™ i5-6300U,Intel HD Graphics 520,8GB PC4 bus 2133 MHz,SSD 256GB,14.0 inch FHD,1.73 kg,Windows 10 b?n quy?n
337,https://laptopaz.vn/laptop-like-new.html,https://laptopaz.vn/laptop-dell-latitude-e7480-core-i7-7600u-ram-8gb-ssd-256gb-vga-intel-hd-graphics-620-14.0-inch-fhd.html,"[Like New] Dell Latitude E7480 Core i7-6600U, 8GB, 256GB, HD Graphics 520, 14.0 inch FHD",Dell,6.890.000,Intel® Core™ i7-6600U,Intel HD Graphics 520,8GB PC3 bus 1600MHz,SSD 256GB,14.0 inch FHD,1.73 kg,Windows 10 b?n quy?n
338,https://laptopaz.vn/laptop-like-new.html,https://laptopaz.vn/like-new-acer-nitro-5-an515-57-56z1-core-i5-11400h-16gb-512gb-rtx3060-15.6-fhd-ips-144hz.html,"[Like New] Acer Nitro 5 AN515-57-56Z1 (Core i5 - 11400H, 16GB, 512GB, RTX3060, 15.6'' FHD IPS 144Hz)",Acer,15.790.000,"Core i5 - 11400H (6 nhân, 12 lu?ng. turbo up to 4.5 GHz, 12MB cache)",NVIDIA Geforce RTX 3060 6GB,16GB DDR4 Bus 3200MHz ( Dual Ram),"SSD 512GB M2. PCIe NVMe
+ 1 Khe M.2 NVMe

+ 1 Khe 2,5 inchs Sata",15.6'' FHD IPS 144Hz,2.45 kg,Windows 11 b?n quy?n
339,https://laptopaz.vn/laptop-like-new.html,https://laptopaz.vn/like-new-hp-probook-640-g5-core-i5-8250u-8gb-256gb-intel-hd-graphics-14-inch-fhd.html,"[Like New] HP Probook 640 G5 (Core i5-8250U, 8GB, 256GB, Intel HD Graphics, 14 inch FHD)",HP,7.190.000,"Intel Core i5 8250U 1.60 GHz Up to 3.4 GHz, 6MB",Intel UHD Graphics 620,8GB DDR4 2400MHz,256GB PCIe® NVMe™ SSD,"14 Inch FHD (1920 x 1080), IPS",2.36 kg,Windows 10
340,https://laptopaz.vn/laptop-like-new.html,https://laptopaz.vn/like-new-laptop-dell-g3-3579-core-i7-8750h-8gb-128gb-500gb-vga-4gb-gtx-1050-15.6quot-fhd-ips.html,"[Like New] Laptop Dell G3 3579 (Core i7-8750H, 8GB, 128GB + 500GB , VGA 4GB GTX 1050, 15.6"" FHD IPS)",Dell,12.090.000,Intel® Core™ i7-8750H,NVIDIA GTX 1050 4GB,8GB DDR4 Bus 2666MHz,SSD 128GB + HDD 500GB,15.6 inch FHD IPS,2.5 kg,Windows b?n quy?n
341,https://laptopaz.vn/laptop-like-new.html,https://laptopaz.vn/like-new-laptop-dell-precision-7550-core-i7-10850h-16gb-512gb-vga-nvidia-quadro-t1000-15.6quot-fhd-ips.html,"[Like New] Laptop Dell Precision 7550 (Core i7-10850H, 16GB, 512GB, VGA NVIDIA Quadro T1000, 15.6"" FHD IPS)",Dell,15.590.000,"Intel Core Processor i7-10850H (6 Core, 12MB Cache, 2.70 GHz to 5.10 GHz, 45W, vPro)",NVIDIA Quadro T1000 w/4GB GDDR6,16GB DDR4 2933Mhz Non-ECC Memory,512GB M.2 PCIe NVMe Solid State Drive,"15.6"" FHD, 1920x1080, 60Hz, Anti-Glare, Non-Touch, 100% DCIP3, 500 Nits",2.59 Kg,Windows 10 b?n quy?n
342,https://laptopaz.vn/laptop-like-new.html,https://laptopaz.vn/like-new-laptop-dell-precision-7550-core-i7-10850h-16gb-512gb-vga-nvidia-quadro-t2000-15.6quot-fhd-ips.html,"[Like New] Laptop Dell Precision 7550 (Core i7-10850H, 16GB, 512GB, VGA NVIDIA Quadro T2000, 15.6"" FHD IPS)",Dell,16.690.000,"Intel Core Processor i7-10850H (6 Core, 12MB Cache, 2.70 GHz to 5.10 GHz, 45W, vPro)",NVIDIA Quadro T2000 w/4GB GDDR6,16GB DDR4 2933Mhz Non-ECC Memory,512GB M.2 PCIe NVMe Solid State Drive,"15.6"" FHD, 1920x1080, 60Hz, Anti-Glare, Non-Touch, 100% DCIP3, 500 Nits",2.59 Kg,Windows 10 b?n quy?n
343,https://laptopaz.vn/laptop-like-new.html,https://laptopaz.vn/like-new-laptop-dell-precision-7550-core-i7-10850h-16gb-512gb-vga-nvidia-rtx-3000-15.6quot-fhd-ips.html,"[Like New] Laptop Dell Precision 7550 (Core i7-10850H, 16GB, 512GB, VGA NVIDIA RTX 3000, 15.6"" FHD IPS)",Dell,18.890.000,"Intel Core Processor i7-10850H (6 Core, 12MB Cache, 2.70 GHz to 5.10 GHz, 45W, vPro)",NVIDIA Quadro RTX 3000 w/6GB GDDR6,16GB DDR4 2933Mhz Non-ECC Memory,512GB M.2 PCIe NVMe Solid State Drive,"15.6"" FHD, 1920x1080, 60Hz, Anti-Glare, Non-Touch, 100% DCIP3, 500 Nits",2.59 Kg,Windows 10 b?n quy?n
344,https://laptopaz.vn/laptop-like-new.html,https://laptopaz.vn/like-new-dell-latitude-5580-core-i5-6300u-8gb-256gb-15.6quot-fhd.html,"[Like New] Dell Latitude 5580 (Core i5-6300U, 8GB, 256GB, 15.6"" FHD)",Dell,5.890.000,"Intel Core i5 6300U SkyLake 2 nhân, 4 lu?ng, xung nh?p 2,4 GHz",Intel HD Graphics 520,8GB DDR4 2133Mhz,SSD 256GB,"15.6 inch FHD 1920x1080 60Hz, 220 nits, anti-glare",~1.9 kg,Windows b?n quy?n
345,https://laptopaz.vn/laptop-like-new.html,https://laptopaz.vn/like-new-laptop-hp-elitebook-840-g5-core-i7-8650u-8gb-256gb-vga-intel-hd-graphics-620-14quot-fhd.html,"Laptop c? HP EliteBook 840 G5 (Core i7-8650U, 8GB, 256GB, VGA Intel HD Graphics 620, 14"" FHD)",HP,7.590.000,Intel® Core™ i7-8650U,intel UHD Graphics 620,8GB DDR4 Bus 2400,SSD 256GB,14.0 icnh FHD,1.5 kg,Windows 10
346,https://laptopaz.vn/laptop-like-new.html,https://laptopaz.vn/like-new-laptop-hp-elitebook-840-g5-core-i5-8250u-8gb-256gb-vga-intel-hd-graphics-620-14quot-fhd.html,"Laptop c? HP EliteBook 840 G5 (Core i5-8250U, 8GB, 256GB, VGA Intel HD Graphics 620, 14"" FHD)",HP,6.590.000,Intel® Core™ i5-8250U,intel UHD Graphics 620,8GB DDR4 Bus 2400,SSD 256GB,14.0 icnh FHD,1.5 kg,Windows 10
