web-scraper-order,web-scraper-start-url,links-href,Name,Brand,Prices,CPU,GPU,RAM,ROM,Screen,Weight,Os_sys
90,https://laptopaz.vn/laptop-moi.html?page=3,https://laptopaz.vn/new-100-acer-swift-x-14-oled-sfx14-72g-708x-core-ultra-7-155h-32gb-1tb-rtx-4060-8gb-14.5quot-2k-oled.html,"[New 100%] Acer Swift X 14 OLED SFX14-72G-708X (Core Ultra 7 155H, 32GB, 1TB, RTX 4060 8GB, 14.5"" 2K+ OLED)",Acer,46.490.000,"Intel® Core™ Ultra 7 155H (1.40GHz up to 4.80GHz, 24MB Cache)",NVIDIA® GeForce RTX™ 4060 8GB GDDR6,32GB LPDDR5X 6400MHz,1TB NVMe PCIe Gen 4 SSD,"14.5"" 2.8K (2880x1800) 16:10 OLED, 100% DCI-P3, 120Hz, 400nits",1.5 kg,Windows b?n quy?n
91,https://laptopaz.vn/laptop-moi.html?page=3,https://laptopaz.vn/new-100-acer-swift-x-14-oled-sfx14-72g-79uw-core-ultra-7-155h-32gb-1tb-rtx-4070-8gb-14.5quot-2k-oled.html,"[New 100%] Acer Swift X 14 OLED SFX14-72G-79UW (Core Ultra 7 155H, 32GB, 1TB, RTX 4070 8GB, 14.5"" 2K+ OLED)",Acer,52.990.000,"Intel® Core™ Ultra 7 155H (1.40GHz up to 4.80GHz, 24MB Cache)",NVIDIA® GeForce RTX™ 4070 8GB GDDR6,32GB LPDDR5X 6400MHz,1TB NVMe PCIe Gen 4 SSD,"14.5"" 2.8K (2880x1800) 16:10 OLED, 100% DCI-P3, 120Hz, 400nits",1.5 kg,Windows b?n quy?n
92,https://laptopaz.vn/laptop-moi.html?page=3,https://laptopaz.vn/new-100-acer-swift-14-sf14-71t-75cv-core-i7-13700h-32gb-1tb-intel-graphics-14quot-2k-touch.html,"[New 100%] Acer Swift 14 SF14-71T-75CV (Core i7-13700H, 32GB, 1TB, Intel Graphics, 14"" 2K+ Touch)",Acer,38.990.000,"Intel Core i7-13700H (2.40GHz up to 5.00GHz, 24MB Cache)",Intel UHD Graphics,32GB LPDDR5 4800MHz (không nâng c?p ???c Ram),1TB PCIe NVMe SED SSD,"14"" 2K+ (2560x1600) IPS Touch, 100% sRGB, 425nits",1.2 kg,Windows b?n quy?n
93,https://laptopaz.vn/laptop-moi.html?page=3,https://laptopaz.vn/new-100-acer-aspire-5-a515-58m-951t-core-i9-13900h-16gb-512gb-intel-iris-xe-graphics-15.6quot-fhd.html,"[New 100%] Acer Aspire 5 A515-58M-951T (Core i9-13900H, 16GB, 512GB, Intel Iris Xe Graphics, 15.6"" FHD)",Acer,20.990.000,"Intel Core i9-13900H (2.60GHz up to 5.40GHz, 24MB Cache)",Intel Iris Xe Graphics,16GB LPDDR5 4800Mhz (không nâng c?p),"512GB PCIe NVMe SSD (nâng c?p t?i ?a 1 TB PCIe Gen4, 16 Gb/s, NVMe)","15.6"" FHD(1920 x 1080) Acer ComfyView™ IPS SlimBezel, 60Hz",1.7 kg,Windows b?n quy?n
94,https://laptopaz.vn/laptop-moi.html?page=3,https://laptopaz.vn/new-100-acer-aspire-5-a515-58m-56yx-core-i5-13420h-16gb-512gb-intel-graphics-15.6quot-fhd.html,"[New 100%] Acer Aspire 5 A515-58M-56YX (Core i5-13420H, 16GB, 512GB, Intel Graphics, 15.6"" FHD)",Acer,16.490.000,"Intel® Core™ i5-13420H (2.10GHz up to 4.60GHz, 12MB Cache)",Intel® UHD Graphics,16GB LPDDR5 4800Mhz (không nâng c?p),"512GB PCIe NVMe SSD (nâng c?p t?i ?a 1 TB PCIe Gen4, 16 Gb/s, NVMe)","15.6"" FHD(1920 x 1080) Acer ComfyView™ IPS SlimBezel, 60Hz",1.7 kg,Windows b?n quy?n
95,https://laptopaz.vn/laptop-moi.html?page=3,https://laptopaz.vn/new-100-acer-aspire-5-a515-58gm-598j-core-i5-13420h-16gb-512gb-rtx-2050-4gb-15.6-fhd.html,"[New 100%] Acer Aspire 5 A515-58GM-598J (Core i5-13420H, 16GB, 512GB, RTX 2050 4GB, 15.6'' FHD)",Acer,18.490.000,Intel® Core™ i5-13420H (2.00GHz up to 4.60GHz 12MB Cache),NVIDIA® GeForce® RTX™ 2050 4GB GDDR6,16GB DDR4 3200MHz,"512GB SSD, PCIe Gen4, 16 Gb/s, NVMe","15.6inch FHD (1920 x 1080) IPS, 60Hz, Slim Bezel, Acer ComfyView™",1.7 kg,Windows b?n quy?n
96,https://laptopaz.vn/laptop-moi.html?page=3,https://laptopaz.vn/new-100-acer-aspire-5-a515-58gm-53cm-core-i5-13420h-32gb-512gb-rtx-2050-4gb-15.6-fhd.html,"[New 100%] Acer Aspire 5 A515-58GM-53CM (Core i5-13420H, 32GB, 512GB, RTX 2050 4GB, 15.6'' FHD)",Acer,19.490.000,Intel® Core™ i5-13420H (2.00GHz up to 4.60GHz 12MB Cache),NVIDIA® GeForce® RTX™ 2050 4GB GDDR6,32GB DDR4 3200MHz,"512GB SSD, PCIe Gen4, 16 Gb/s, NVMe","15.6inch FHD (1920 x 1080) IPS, 60Hz, Slim Bezel, Acer ComfyView™",1.7 kg,Windows b?n quy?n
97,https://laptopaz.vn/laptop-moi.html?page=3,https://laptopaz.vn/new-100-acer-aspire-5-spin-14-a5sp14-51mtn-573x-core-i5-1335u-16gb-512gb-intel-iris-xe-graphics-14quot-fhd-touch.html,"[New 100%] Acer Aspire 5 Spin 14 A5SP14-51MTN-573X (Core i5-1335U, 16GB, 512GB, Intel Iris Xe Graphics, 14"" FHD+ Touch)",Acer,14.990.000,"Intel Core i5-1335U (1.30GHz up to 4.60GHz, 12MB Cache)",Intel® Iris® Xe Graphics,16GB LPDDR5 5200MHz on board,512GB PCIe Gen4 NVMe SSD,"14"" FHD+ (1920 x 1200) IPS SlimBezel, 60Hz Acer ComfyView™, c?m ?ng (có bút)",1.6 kg,Windows b?n quy?n
98,https://laptopaz.vn/laptop-moi.html?page=3,https://laptopaz.vn/new-100-acer-aspire-5-spin-14-a5sp14-51mtn-78jh-core-i7-1355u-16gb-512gb-intel-iris-xe-graphics-14quot-fhd-touch.html,"[New 100%] Acer Aspire 5 Spin 14 A5SP14-51MTN-78JH (Core i7-1355U, 16GB, 512GB, Intel Iris Xe Graphics, 14"" FHD+ Touch)",Acer,22.990.000,"Intel Core i7-1355U (1.70GHz up to 5.00GHz, 12MB Cache)",Intel® Iris® Xe Graphics,16GB LPDDR5 5200MHz on board,512GB PCIe Gen4 NVMe SSD,"14"" FHD+ (1920 x 1200) IPS SlimBezel, 60Hz Acer ComfyView™, c?m ?ng (có bút)",1.6 kg,Windows b?n quy?n
99,https://laptopaz.vn/laptop-moi.html?page=3,https://laptopaz.vn/new-100-acer-nitro-v-15-propanel-anv15-51-73bt-core-i7-13620h-16gb-512gb-rtx-2050-4gb-15.6quot-fhd-ips-180hz.html,"[New 100%] Acer Nitro V 15 ProPanel ANV15-51-73BT (Core i7-13620H, 16GB, 512GB, RTX 2050 4GB, 15.6"" FHD IPS 180Hz)",Acer,25.990.000,"Intel® Core™ i7-13620H (2.40GHz up to 4.90GHz, 24MB Cache)",NVIDIA® GeForce RTX™ 2050 4GB GDDR6,16GB DDR5 5200Mhz (2 khe r?i - nâng c?p t?i ?a 96GB),512GB PCIe NVMe SSD (nâng c?p t?i ?a 4TB PCIe Gen4 NVMe SSD),"15.6 inch FHD(1920 x 1080) IPS, 180Hz, 100% sRGB, Acer ComfyView",~2.1 kg,Windows 11 Home b?n quy?n
100,https://laptopaz.vn/laptop-moi.html?page=3,https://laptopaz.vn/new-100-acer-nitro-v-15-propanel-anv15-51-56d5-core-i5-13420h-16gb-512gb-rtx-3050-6gb-15.6quot-fhd-ips-180hz.html,"[New 100%] Acer Nitro V 15 ProPanel ANV15-51-56D5 (Core i5-13420H, 16GB, 512GB, RTX 3050 6GB, 15.6"" FHD IPS 180Hz)",Acer,24.990.000,"Intel® Core™ i5-13420H (2.10GHz up to 4.60GHz, 12MB Cache)",NVIDIA® GeForce RTX™ 3050 6GB GDDR6,16GB DDR5 5200Mhz (2 khe r?i - nâng c?p t?i ?a 96GB),512GB PCIe NVMe SSD (nâng c?p t?i ?a 4TB PCIe Gen4 NVMe SSD),"15.6 inch FHD(1920 x 1080) IPS, 180Hz, 100% sRGB, Acer ComfyView",~2.1 kg,Windows 11 Home b?n quy?n
101,https://laptopaz.vn/laptop-moi.html?page=3,https://laptopaz.vn/new-100-acer-nitro-v-15-propanel-anv15-51-500a-core-i5-13420h-16gb-512gb-rtx-2050-4gb-15.6quot-fhd-ips-180hz.html,"[New 100%] Acer Nitro V 15 ProPanel ANV15-51-500A (Core i5-13420H, 16GB, 512GB, RTX 2050 4GB, 15.6"" FHD IPS 180Hz)",Acer,23.990.000,"Intel® Core™ i5-13420H (2.10GHz up to 4.60GHz, 12MB Cache)",NVIDIA® GeForce RTX™ 2050 4GB GDDR6,16GB DDR5 5200Mhz (2 khe r?i - nâng c?p t?i ?a 96GB),512GB PCIe NVMe SSD (nâng c?p t?i ?a 4TB PCIe Gen4 NVMe SSD),"15.6 inch FHD(1920 x 1080) IPS, 180Hz, 100% sRGB, Acer ComfyView",~2.1 kg,Windows 11 Home b?n quy?n
102,https://laptopaz.vn/laptop-moi.html?page=3,https://laptopaz.vn/new-100-acer-nitro-v-15-propanel-anv15-51-73uu-core-i7-13620h-16gb-512gb-rtx-3050-6gb-15.6quot-fhd-ips-180hz.html,"[New 100%] Acer Nitro V 15 ProPanel ANV15-51-73UU (Core i7-13620H, 16GB, 512GB, RTX 3050 6GB, 15.6"" FHD IPS 180Hz)",Acer,27.590.000,"Intel® Core™ i7-13620H (2.40GHz up to 4.90GHz, 24MB Cache)",NVIDIA® GeForce RTX™ 3050 6GB GDDR6,16GB DDR5 5200Mhz (2 khe r?i - nâng c?p t?i ?a 96GB),512GB PCIe NVMe SSD (nâng c?p t?i ?a 4TB PCIe Gen4 NVMe SSD),"15.6 inch FHD(1920 x 1080) IPS, 180Hz, 100% sRGB, Acer ComfyView",~2.1 kg,Windows 11 Home b?n quy?n
103,https://laptopaz.vn/laptop-moi.html?page=3,https://laptopaz.vn/new-100-acer-nitro-v-15-propanel-anv15-41-r7ap-ryzen-5-7535hs-16gb-512gb-rtx-2050-4gb-15.6quot-fhd-ips-180hz.html,"[New 100%] Acer Nitro V 15 ProPanel ANV15-41-R7AP (Ryzen 5-7535HS, 16GB, 512GB, RTX 2050 4GB, 15.6"" FHD IPS 180Hz)",Acer,19.490.000,"AMD Ryzen™ 5-7535HS (3.30GHz up to 4.55GHz, 16MB Cache)",NVIDIA® GeForce® RTX 2050 4GB GDDR6,16GB DDR5 4800MHz (H? tr? nâng Ram t?i ?a 64GB),512GB PCIe NVMe SSD (Up to 4TB PCIe Gen4 NVMe SSD?),"15.6 inch FHD(1920 x 1080) IPS, 180Hz, 100% sRGB, 300nits, Acer ComfyView™, LED-backlit TFT LCD, Wide viewing angle up to 170 degrees, Ultra-slim design",~2.1 kg,Windows 11 Home b?n quy?n
104,https://laptopaz.vn/laptop-moi.html?page=3,https://laptopaz.vn/new-100-acer-nitro-v-15-anv15-51-76b9-core-i7-13620h-16gb-512gb-rtx-4050-6gb-15.6quot-fhd-ips-180hz.html,"[New 100%] Acer Nitro V 15 ANV15-51-76B9 (Core i7 - 13620H, 16GB, 512GB, RTX 4050 6GB, 15.6"" FHD IPS 180Hz)",Acer,32.690.000,"Intel® Core™ i7-13620H (2.40GHz up to 4.90GHz, 24MB Cache)",NVIDIA® GeForce RTX™ 4050 6GB GDDR6,"16GB DDR5 5200MHz (2 khe, t?i ?a 64GB)",512GB PCIe NVMe SSD (nâng c?p t?i ?a 4TB SSD),"15.6 inch FHD(1920 x 1080) IPS, 180Hz, 100% sRGB, Acer ComfyView",~2.1 kg,Windows 11 Home b?n quy?n
105,https://laptopaz.vn/laptop-moi.html?page=3,https://laptopaz.vn/new-100-acer-nitro-v-15-anv15-51-78bg-core-i7-13620h-16gb-512gb-rtx-4060-8gb-15.6quot-fhd-ips-180hz.html,"[New 100%] Acer Nitro V 15 ANV15-51-78BG (Core i7 - 13620H, 16GB, 512GB, RTX 4060 8GB, 15.6"" FHD IPS 180Hz)",Acer,34.990.000,"Intel® Core™ i7-13620H (2.40GHz up to 4.90GHz, 24MB Cache)",NVIDIA® GeForce RTX™ 4060 8GB GDDR6,"16GB DDR5 5200MHz (2 khe, t?i ?a 64GB)",512GB PCIe NVMe SSD (nâng c?p t?i ?a 4TB SSD),"15.6 inch FHD(1920 x 1080) IPS, 180Hz, 100% sRGB, Acer ComfyView",~2.1 kg,Windows 11 Home b?n quy?n
106,https://laptopaz.vn/laptop-moi.html?page=3,https://laptopaz.vn/new-100-acer-nitro-v-16-propanel-anv16-41-r6na-ryzen-7-8845hs-16gb-512gb-rtx-4060-8gb-16quot-fhd-ips-165hz.html,"[New 100%] Acer Nitro V 16 ProPanel ANV16-41-R6NA (Ryzen 7-8845HS, 16GB, 512GB, RTX 4060 8GB, 16"" FHD+ IPS 165Hz)",Acer,32.990.000,"AMD Ryzen 7-8845HS (3.80GHz up to 5.10GHz, 16MB Cache)",NVIDIA® GeForce RTX™ 4060 8GB GDDR6,16GB(1x16GB) DDR5 5600MHz (up to 64GB),512GB PCIe NVMe SSD (nâng c?p t?i ?a 4TB SSD),"16"" FHD+(1920 x 1200) 16:10 IPS, 165Hz, 100%sRGB, 300nits",~2.5 kg,Windows 11 Home b?n quy?n
107,https://laptopaz.vn/laptop-moi.html?page=3,https://laptopaz.vn/new-100-acer-nitro-v-16-propanel-anv16-41-r36y-ryzen-7-8845hs-16gb-512gb-rtx-4050-6gb-16quot-fhd-ips-165hz.html,"[New 100%] Acer Nitro V 16 ProPanel ANV16-41-R36Y (Ryzen 7-8845HS, 16GB, 512GB, RTX 4050 6GB, 16"" FHD+ IPS 165Hz)",Acer,29.990.000,"AMD Ryzen 7-8845HS (3.80GHz up to 5.10GHz, 16MB Cache)",NVIDIA® GeForce RTX™ 4050 6GB GDDR6,16GB(1x16GB) DDR5 5600MHz (up to 64GB),512GB PCIe NVMe SSD (nâng c?p t?i ?a 4TB SSD),"16"" FHD+(1920 x 1200) 16:10 IPS, 165Hz, 100%sRGB, 300nits",~2.5 kg,Windows 11 Home b?n quy?n
108,https://laptopaz.vn/laptop-moi.html?page=3,https://laptopaz.vn/new-100-acer-nitro-v-16-propanel-anv16-41-r7en-ryzen-7-8845hs-16gb-512gb-rtx-3050-6gb-16quot-fhd-ips-165hz.html,"[New 100%] Acer Nitro V 16 ProPanel ANV16-41-R7EN (Ryzen 7-8845HS, 16GB, 512GB, RTX 3050 6GB, 16"" FHD+ IPS 165Hz)",Acer,25.490.000,"AMD Ryzen 7-8845HS (3.80GHz up to 5.10GHz, 16MB Cache)",NVIDIA® GeForce RTX™ 3050 6GB GDDR6,16GB(1x16GB) DDR5 5600MHz (up to 64GB),512GB PCIe NVMe SSD (nâng c?p t?i ?a 4TB SSD),"16"" FHD+(1920 x 1200) 16:10 IPS, 165Hz, 100%sRGB, 300nits",~2.5 kg,Windows 11 Home b?n quy?n
109,https://laptopaz.vn/laptop-moi.html?page=3,https://laptopaz.vn/new-100-acer-nitro-v-16-propanel-anv16-41-r6zy-ryzen-5-8645hs-16gb-512gb-rtx-3050-6gb-16quot-fhd-ips-165hz.html,"[New 100%] Acer Nitro V 16 ProPanel ANV16-41-R6ZY (Ryzen 5-8645HS, 16GB, 512GB, RTX 3050 6GB, 16"" FHD+ IPS 165Hz)",Acer,23.990.000,"AMD Ryzen 5-8645HS (4.30GHz up to 5.00GHz, 16MB Cache)",NVIDIA® GeForce RTX™ 3050 6GB GDDR6,16GB(1x16GB) DDR5 5600MHz (up to 64GB),512GB PCIe NVMe SSD (nâng c?p t?i ?a 4TB SSD),"16"" FHD+(1920 x 1200) 16:10 IPS, 165Hz, 100%sRGB, 300nits",~2.5 kg,Windows 11 Home b?n quy?n
110,https://laptopaz.vn/laptop-moi.html?page=3,https://laptopaz.vn/new-100-acer-nitro-v-16-propanel-anv16-41-r4kd-ryzen-7-8845hs-16gb-512gb-rtx-4060-8gb-16quot-2k-ips-165hz.html,"[New 100%] Acer Nitro V 16 ProPanel ANV16-41-R4KD (Ryzen 7-8845HS, 16GB, 512GB, RTX 4060 8GB, 16"" 2K+ IPS 165Hz)",Acer,36.990.000,"AMD Ryzen 7-8845HS (3.80GHz up to 5.10GHz, 16MB Cache)",NVIDIA® GeForce RTX™ 4060 8GB GDDR6,16GB(1x16GB) DDR5 5600MHz (up to 64GB),512GB PCIe NVMe SSD (nâng c?p t?i ?a 4TB SSD),"16"" 2K+(2560x1600) 16:10 IPS, 165Hz, 100%sRGB, 300nits",~2.5 kg,Windows 11 Home b?n quy?n
111,https://laptopaz.vn/laptop-moi.html?page=3,https://laptopaz.vn/new-100-acer-predator-triton-neo-16-ptn16-51-78jq-core-ultra-7-155h-32gb-2tb-rtx-4060-8gb-16quot-2k-ips-240hz.html,"[New 100%] Acer Predator Triton Neo 16 PTN16-51-78JQ (Core Ultra 7 155H, 32GB, 2TB, RTX 4060 8GB, 16"" 2K+ IPS 240Hz)",Acer,50.990.000,"Intel® Core™ Ultra 7 155H (`1.40GHz up to 4.80GHz, 24MB Cache)",NVIDIA® GeForce® RTX 4060 8GB GDDR6,32 GB LPDDR5X Bus 6400 MHz,SSD 2TB PCIe NVMe Gen 4x4,"16"" 2K+(2560 x 1600) IPS 240Hz 100%DCI-P3 500 nits",2.05 kg,Windows 11 Home Single Language
112,https://laptopaz.vn/laptop-moi.html?page=3,https://laptopaz.vn/new-100-acer-predator-helios-neo-14-2024-phn14-51-99y8-core-ultra-9-185h-32gb-1tb-rtx-4060-8gb-14.5quot-3k-165hz.html,"[New 100%] Acer Predator Helios Neo 14 2024 PHN14-51-99Y8 (Core Ultra 9 185H, 32GB, 1TB, RTX 4060 8GB, 14.5"" 3K+ 165Hz)",Acer,45.990.000,"Intel® Core™ Ultra 9 185H (2.30GHz up to 5.10GHz, 24MB Cache)",NVIDIA GeForce RTX 4060 8GB GDDR6,32GB LPDDR5X 6400MHz,1TB PCIe NVMe SED SSD,"14.5"" 3K+ (3072 x 1920) 165Hz, 400nits, 100% sRGB, Acer ComfyView™ LED-backlit TFT LCD Nvidia Advanced Optimus/G-SYNC",1.9 kg,Windows 11
113,https://laptopaz.vn/laptop-moi.html?page=3,https://laptopaz.vn/new-100-acer-predator-helios-neo-14-2024-phn14-51-96hg-core-ultra-9-185h-32gb-1tb-rtx-4070-8gb-14.5quot-2k-165hz.html,"[New 100%] Acer Predator Helios Neo 14 2024 PHN14-51-96HG (Core Ultra 9 185H, 32GB, 1TB, RTX 4070 8GB, 14.5"" 2K+ 165Hz)",Acer,59.990.000,"Intel® Core™ Ultra 9 185H (2.30GHz up to 5.10GHz, 24MB Cache)",NVIDIA GeForce RTX 4070 8GB GDDR6,32GB LPDDR5X 6400MHz,1TB PCIe NVMe SED SSD,"14.5"" 2K+ (2560 x 1600) 165Hz, 350 nits, 100% sRGB, Acer ComfyView™ LED-backlit TFT LCD Nvidia Advanced Optimus/G-SYNC",1.9 kg,Windows 11
114,https://laptopaz.vn/laptop-moi.html?page=3,https://laptopaz.vn/new-100-acer-nitro-v-15-anv15-51-72vs-core-i7-13620h-16gb-512gb-rtx-2050-4gb-15.6quot-fhd-ips-144hz.html,"[New 100%] Acer Nitro V 15 ANV15-51-72VS (Core i7 - 13620H, 16GB, 512GB, RTX 2050 4GB, 15.6"" FHD IPS 144Hz)",Acer,23.990.000,"Intel® Core™ i7-13620H (2.40GHz up to 4.90GHz, 24MB Cache)",NVIDIA® GeForce RTX™ 2050 4GB GDDR6,"16GB DDR5 5200MHz (2 khe, t?i ?a 64GB)",512GB PCIe NVMe SSD (nâng c?p t?i ?a 4TB SSD),"15.6 inch FHD(1920 x 1080) IPS, 144Hz, SlimBezel, 45% NTSC, 250nits",~2.1 kg,Windows 11 Home b?n quy?n
115,https://laptopaz.vn/laptop-moi.html?page=3,https://laptopaz.vn/new-100-acer-nitro-v-15-anv15-51-55ca-core-i5-13420h-16gb-512gb-rtx-4050-6gb-15.6quot-fhd-ips-144hz.html,"[New 100%] Acer Nitro V 15 ANV15-51-55CA (Core i5-13420H, 16GB, 512GB, RTX 4050 6GB, 15.6"" FHD IPS 144Hz)",Acer,24.990.000,"Intel® Core™ i5-13420H (2.10GHz up to 4.60GHz, 12MB Cache)",NVIDIA® GeForce RTX™ 4050 6GB GDDR6,"16GB DDR5 5200MHz (2 khe, t?i ?a 64GB)",512GB PCIe NVMe SSD (nâng c?p t?i ?a 4TB SSD),"15.6 inch FHD(1920 x 1080) IPS, 144Hz, SlimBezel, 45% NTSC, 250nits",~2.1 kg,Windows 11 Home b?n quy?n
116,https://laptopaz.vn/laptop-moi.html?page=3,https://laptopaz.vn/new-100-acer-nitro-v-15-anv15-51-75gs-core-i7-13620h-16gb-512gb-rtx-4050-6gb-15.6quot-fhd-ips-144hz.html,"[New 100%] Acer Nitro V 15 ANV15-51-75GS (Core i7 - 13620H, 16GB, 512GB, RTX 4050 6GB, 15.6"" FHD IPS 144Hz)",Acer,28.990.000,"Intel® Core™ i7-13620H (2.40GHz up to 4.90GHz, 24MB Cache)",NVIDIA® GeForce RTX™ 4050 6GB GDDR6,"16GB DDR5 5200MHz (2 khe, t?i ?a 64GB)",512GB PCIe NVMe SSD (nâng c?p t?i ?a 4TB SSD),15.6 inch FHD(1920 x 1080) IPS 144Hz SlimBezel,~2.1 kg,Windows 11 Home b?n quy?n
117,https://laptopaz.vn/laptop-moi.html?page=3,https://laptopaz.vn/new-100-acer-nitro-v-15-anv15-51-91t5-core-i9-13900h-16gb-512gb-rtx-4060-8gb-15.6quot-fhd-ips-144hz.html,"[New 100%] Acer Nitro V 15 ANV15-51-91T5 (Core i9-13900H, 16GB, 512GB, RTX 4060 8GB, 15.6"" FHD IPS 144Hz)",Acer,31.990.000,"Intel® Core™ i9-13900H (2.60GHz up to 5.40GHz, 24MB Cache)",NVIDIA® GeForce RTX™ 4060 8GB GDDR6,"16GB DDR5 5200MHz (2 khe, t?i ?a 64GB)",512GB PCIe NVMe SSD (nâng c?p t?i ?a 4TB SSD),"15.6 inch FHD(1920 x 1080) IPS, 144Hz, SlimBezel, 45% NTSC, 250nits",~2.1 kg,Windows 11 Home b?n quy?n
118,https://laptopaz.vn/laptop-moi.html?page=3,https://laptopaz.vn/new-100-acer-predator-helios-neo-2024-phn16-72-94kc-core-i9-14900hx-16gb-1tb-rtx-4070-8gb-16quot-2k-240hz.html,"[New 100%] Acer Predator Helios Neo 2024 PHN16-72-94KC (Core i9-14900HX, 16GB, 1TB, RTX 4070 8GB, 16"" 2K+ 240Hz)",Acer,55.990.000,"Intel Core i9-14900HX (24 Cores/ 32 Threads, up to 5.80 GHz, 36MB",NVIDIA GeForce RTX 4070 8GB GDDR6,"16GB (8GBx2) DDR5 5600MHz (2x SO-DIMM socket, up to 32GB SDRAM)",1TB PCIe Gen4 NVMe SED SSD (Còn tr?ng 1 khe SSD M.2 PCIE Gen 4),"16"" 2K+ (2560 x 1600) IPS, 240Hz, 100% DCI-P3, 500nits, Acer ComfyView™ LED-backlit TFT LCD",2.8 kg,Windows 11
119,https://laptopaz.vn/laptop-moi.html?page=3,https://laptopaz.vn/new-100-acer-predator-helios-neo-2024-phn16-72-71um-core-i7-14700hx-16gb-1tb-rtx-4070-8gb-16quot-2k-240hz.html,"[New 100%] Acer Predator Helios Neo 2024 PHN16-72-71UM (Core i7-14700HX, 16GB, 1TB, RTX 4070 8GB, 16"" 2K+ 240Hz)",Acer,51.290.000,"Intel Core i7-14700HX (3.90GHz up to 5.50GHz, 33MB Cache)",NVIDIA GeForce RTX 4070 8GB GDDR6,"16GB (8GBx2) DDR5 5600MHz (2x SO-DIMM socket, up to 32GB SDRAM)",1TB PCIe Gen4 NVMe SED SSD (Còn tr?ng 1 khe SSD M.2 PCIE Gen 4),"16"" 2K+ (2560 x 1600) IPS, 240Hz, 100% DCI-P3, 500nits, Acer ComfyView™ LED-backlit TFT LCD",2.8 kg,Windows 11
120,https://laptopaz.vn/laptop-moi.html?page=3,https://laptopaz.vn/new-100-acer-predator-helios-neo-2024-phn16-72-78dq-core-i7-14650hx-16gb-1tb-rtx-4060-8gb-16quot-2k-240hz.html,"[New 100%] Acer Predator Helios Neo 2024 PHN16-72-78DQ (Core i7-14650HX, 16GB, 1TB, RTX 4060 8GB, 16"" 2K+ 240Hz)",Acer,45.990.000,"Intel Core i7-14650HX (2.20GHz up to 5.20GHz, 30MB Cache)",NVIDIA GeForce RTX 4060 8GB GDDR6,"16GB (8GBx2) DDR5 5600MHz (2x SO-DIMM socket, up to 32GB SDRAM)",1TB PCIe NVMe SSD,"16"" 2K+ (2560 x 1600) IPS, 240Hz, 100% DCI-P3, 500nits, Acer ComfyView™ LED-backlit TFT LCD",2.8 kg,Windows 11
121,https://laptopaz.vn/laptop-moi.html?page=4,https://laptopaz.vn/new-100-lenovo-thinkbook-14-g6-2024-ryzen-7-8845h-16gb-1tb-14.0quot-2k-ips-120hz.html,"[New 100%] Lenovo Thinkbook 14 G6+ 2024 (Ryzen 7-8845H, 16GB, 1TB, 14.0"" 2K+ IPS 120Hz)",Lenovo,20.890.000,"AMD Ryzen 7 8845H (3.8 GHz up to 5.1 Hz, 8 Cores, 16 Threads, 16MB Cache)",AMD Graphics,16GB LPDDR5x 7500MT/s,1TB SSD PCIe 4.0,"14.5?, 2.5K+ (2560x1600) IPS, LED, 120Hz, 100% sRGB",1.5 kg,Windows 11 b?n quy?n
122,https://laptopaz.vn/laptop-moi.html?page=4,https://laptopaz.vn/like-new-dell-latitude-5400-core-i7-8650u-8gb-256gb-vga-intel-uhd-graphics-620-14.0quot-fhd.html,"[Like New] Dell Latitude 5400 (Core i7-8650U, 8GB, 256GB, VGA Intel UHD Graphics 620, 14.0"" FHD)",Dell,7.690.000,Intel® Core™ i7- 8650U,Intel UHD Graphics 620,8GB DDR4 Bus 2666MHz,SSD 256GB,"14.0"" FHD",1.48 kg,Windows 10 b?n quy?n
123,https://laptopaz.vn/laptop-moi.html?page=4,https://laptopaz.vn/new-100-lenovo-yoga-7-2-in-1-14iml9-core-ultra-5-125u-16gb-512gb-14-fhd-touch.html,"[New 100%] Lenovo Yoga 7 2-in-1 14IML9 (Core Ultra 5 125U, 16GB, 512GB, 14'' FHD+ Touch)",Lenovo,17.990.000,"Intel® Core™ Ultra 5 125U (1.30GHz up to 4.30GHz, 12MB Cache)",Intel Graphics,16GB Soldered LPDDR5x-7467MHz,512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®,"14"" FHD+(1920x1200) IPS 300nits Glossy / Anti-fingerprint, 45% NTSC, 60Hz, Dolby Vision®, TÜV Low Blue Light, Glass, Touch",1.6 kg,Windows 11 b?n quy?n
124,https://laptopaz.vn/laptop-moi.html?page=4,https://laptopaz.vn/new-100-dell-gaming-g15-5525-ryzen-7-6800h-16gb-512gb-rtx-3060-6gb-15.6-2k-240hz.html,"[New 100%] Dell Gaming G15 5525 (Ryzen 7-6800H, 16GB, 512GB, RTX 3060 6GB, 15.6'' 2K 240Hz)",Dell,,"AMD Ryzen™ 7 6800H 8 cores 16 threads (3.2GHz up to 4.7 GHz, 20MB Cache)",NVIDIA GeForce RTX 3060 6GB GDDR6 (140W),16GB DDR5 4800Mhz,512GB M.2 NMVe SSD,"15.6"" 2K, 240Hz, 100% sRGB",2.55 kg,Windows 11
